SECURITY,SHARES,FAIR VALUE ($),COST ($)
INTERCONTINENTAL EXCHANGE INC,38203,10773909,9107731
ISHARES GOLD TRUST,18832,237283,225728
KAR AUCTION SERVICES INC,117172,4954036,4661205
KILROY REALTY CORP,21724,1577814,1378018
KINDER MORGAN INC,303588,6633396,5564769
LA QUINTA HOLDINGS INC,444990,5139637,6107004
LAREDO PETROLEUM INC,156950,1927340,3116555
LASALLE HOTEL PROPERTIES,128322,3600721,3283367
LENNAR CORP,105685,4998898,4376077
LIBERTY INTERACTIVE CORP,5636,119089,58531
LONGVIEW ENERGY CO,1698,2972,24118
MACK-CALI REALTY CORP,36178,1004303,975499
MACQUARIE INFRASTRUCTURE CORP LLC,145751,11651369,10272630
MAGELLAN MIDSTREAM PARTNERS LP,45005,3165192,2612055
MARATHON OIL CORP,383005,5752735,7812727
MARSH & MCLENNAN COS INC,2623,177380,66691
MASTERCARD INC,5725,553224,199438
MERCADOLIBRE INC,8609,1480700,1443625
MGM GROWTH PROPERTIES LLC,18981,478702,417958
MICROSTRATEGY INC,32591,5435806,4480281
MONSANTO CO,54962,5853428,5677288
MORGAN STANLEY DEAN WITTER CAPITAL,141782,4545523,3676483
MOSAIC CO,31940,960425,919582
MPLX LP,22631,749780,825652
MSC INDUSTRIAL DIRECT CO INC,14355,1048524,1172987
NATIONAL OILWELL VARCO INC,122944,4123553,6240967
NATIONAL RETAIL PROPERTIES INC,15465,774796,590781
NET 1 UEPS TECHNOLOGIES INC,14563,142278,162101
NEWFIELD EXPLORATION CO,156626,6791305,5440914
NEWMONT MINING CORP,159698,6106858,5504455
NEWS CORP,77284,1097274,1292363
NEXTEER AUTOMOTIVE GROUP LTD,85241,117145,90579
NOBLE ENERGY INC,144596,4985682,7119072
NUSTAR ENERGY LP,8046,386220,425274
NUSTAR GP HOLDINGS LLC,89553,2175248,2739275
OCCIDENTAL PETROLEUM CORP,68845,5290760,6232009
OCEANEERING INTERNATIONAL INC,34371,911530,1435841
OIL STATES INTERNATIONAL INC,122878,3811671,3474704
OMEGA HEALTHCARE INVESTORS INC,46530,1684382,1729579
ORACLE CORP,18665,769359,572060
OUTFRONT MEDIA INC,27016,602989,817618
PANDORA MEDIA INC,388646,5441049,5215819
PATTERSON-UTI ENERGY INC,143972,2806007,4179873
PDC ENERGY INC,66933,4444345,3374653
PEBBLEBROOK HOTEL TRUST,12973,389709,385594
PENN VIRGINIA CORP,526217,14997,3962962
PHILLIPS 66,21448,1682608,1698262
PHILLIPS 66 PARTNERS LP,36992,1830000,2292055
PHYSICIANS REALTY TRUST,48752,1043775,836159
PIONEER ENERGY SERVICES CORP,63782,212393,290345
PIONEER NATURAL RESOURCE CO,53869,9645336,7441345
PLAINS ALL AMERICAN PIPELINE LP,6154,172674,131781
PRIMERICA INC,10430,593795,589275
PROLOGIS INC,57381,3047517,2593452
QEP RESOURCES INC,125791,2402615,2435733
QTS REALTY TRUST INC,11887,644157,387111
RANGE RESOURCES CORP,75007,2893034,3554299
RAYMOND JAMES FINANCIAL INC,1084,63076,50825
REGENCY CENTERS CORP,31024,2498705,1572597
RESOLUTE ENERGY CORP,200932,3397768,2631128
RETAIL PROPERTIES OF AMERICA INC,44894,763198,657110
RICE MIDSTREAM PARTNERS LP,64281,1469468,957002
RPC INC,197432,3026636,2646698
RSP PERMIAN INC,17049,665775,373449
S&P GLOBAL INC,84999,10500684,7433448
SABRA HEALTH CARE REIT INC,16178,412204,376483
SANCHEZ ENERGY CORP,288834,2481085,5416729
SBA COMMUNICATIONS CORP,6618,755456,741729
SEMGROUP CORP,71303,2217530,2601844
SERVICEMASTER GLOBAL HOLDINGS INC,69780,2603475,2726393
SHELL MIDSTREAM PARTNERS LP,299829,9135789,10005478
SIMON PROPERTY GROUP INC,84668,18243365,12605388
SL GREEN REALTY CORP,17368,2044598,1788683
SPECTRA ENERGY PARTNERS LP,54978,2508656,2423979
SPIRIT REALTY CAPITAL INC,98509,1305244,1086465
SS&C TECHNOLOGIES HOLDINGS INC,12445,410054,384064
STORE CAPITAL CORP,21809,646201,543472
SUN COMMUNITIES INC,11518,881357,696339
SUNOCO LOGISTICS PARTNERS LP,158831,4701395,4035764
SUNOCO LP,308254,9179789,11848977
SUNSTONE HOTEL INVESTORS INC,33041,458944,416421
SUPERIOR ENERGY SERVICES INC,324588,5462822,6816948
TAILORED BRANDS INC,173744,2289950,6787827
TAKE-TWO INTERACTIVE SOFTWARE,90626,3939500,2892281
TALLGRASS ENERGY GP LP,6615,153919,151591
OCCIDENTAL PETROLEUM CORP,68845,5290760,6232009
OCEANEERING INTERNATIONAL INC,34371,911530,1435841
OIL STATES INTERNATIONAL INC,122878,3811671,3474704
OMEGA HEALTHCARE INVESTORS INC,46530,1684382,1729579
ORACLE CORP,18665,769359,572060
OUTFRONT MEDIA INC,27016,602989,817618
PANDORA MEDIA INC,388646,5441049,5215819
PATTERSON-UTI ENERGY INC,143972,2806007,4179873
PDC ENERGY INC,66933,4444345,3374653
PEBBLEBROOK HOTEL TRUST,12973,389709,385594
PENN VIRGINIA CORP,526217,14997,3962962
PHILLIPS 66,21448,1682608,1698262
PHILLIPS 66 PARTNERS LP,36992,1830000,2292055
PHYSICIANS REALTY TRUST,48752,1043775,836159
PIONEER ENERGY SERVICES CORP,63782,212393,290345
PIONEER NATURAL RESOURCE CO,53869,9645336,7441345
PLAINS ALL AMERICAN PIPELINE LP,6154,172674,131781
PRIMERICA INC,10430,593795,589275
PROLOGIS INC,57381,3047517,2593452
QEP RESOURCES INC,125791,2402615,2435733
QTS REALTY TRUST INC,11887,644157,387111
RANGE RESOURCES CORP,75007,2893034,3554299
RAYMOND JAMES FINANCIAL INC,1084,63076,50825
REGENCY CENTERS CORP,31024,2498705,1572597
RESOLUTE ENERGY CORP,200932,3397768,2631128
RETAIL PROPERTIES OF AMERICA INC,44894,763198,657110
RICE MIDSTREAM PARTNERS LP,64281,1469468,957002
RPC INC,197432,3026636,2646698
RSP PERMIAN INC,17049,665775,373449
S&P GLOBAL INC,84999,10500684,7433448
SABRA HEALTH CARE REIT INC,16178,412204,376483
SANCHEZ ENERGY CORP,288834,2481085,5416729
SBA COMMUNICATIONS CORP,6618,755456,741729
SEMGROUP CORP,71303,2217530,2601844
SERVICEMASTER GLOBAL HOLDINGS INC,69780,2603475,2726393
SHELL MIDSTREAM PARTNERS LP,299829,9135789,10005478
SIMON PROPERTY GROUP INC,84668,18243365,12605388
SL GREEN REALTY CORP,17368,2044598,1788683
SPECTRA ENERGY PARTNERS LP,54978,2508656,2423979
SPIRIT REALTY CAPITAL INC,98509,1305244,1086465
SS&C TECHNOLOGIES HOLDINGS INC,12445,410054,384064
STORE CAPITAL CORP,21809,646201,543472
SUN COMMUNITIES INC,11518,881357,696339
SUNOCO LOGISTICS PARTNERS LP,158831,4701395,4035764
SUNOCO LP,308254,9179789,11848977
SUNSTONE HOTEL INVESTORS INC,33041,458944,416421
SUPERIOR ENERGY SERVICES INC,324588,5462822,6816948
TAILORED BRANDS INC,173744,2289950,6787827
TAKE-TWO INTERACTIVE SOFTWARE,90626,3939500,2892281
TALLGRASS ENERGY GP LP,6615,153919,151591
TALLGRASS ENERGY PARTNERS LP,42311,1949694,1671022
TANGER FACTORY OUTLET CENTERS INC,63685,2588148,2240390
TARGA RESOURCES CORP,27534,1199946,1115696
TERADATA CORP,9952,315770,364854
TESORO LOGISTICS LP,58513,2806267,2693323
TIFFANY & CO,3684,262918,216442
TREASURE ISLAND ROYALTY TRUST,103037,258,94794
TRINET GROUP INC,25712,539946,530535
UDR INC,74985,2712957,2101624
UNITED TECHNOLOGIES CORP,2549,271305,225693
US FOODS HOLDING CORP,199435,4836297,4786999
US SILICA HOLDINGS INC,129027,5064294,3536036
VALERO ENERGY PARTNERS LP,238479,9989902,10957666
VENTAS INC,6666,484418,391465
VISA INC,29626,2396773,2164469
VORNADO REALTY TRUST,98184,10143442,8259005
WASHINGTON PRIME GROUP INC,29559,406147,471375
WELLTOWER INC,16178,1241628,1030030
WENDY'S INTERNATIONAL INC,398044,4056064,4014497
WESTERN GAS EQUITY PARTNERS LP,115858,4271683,4512289
WESTERN GAS PARTNERS LP,52019,2617592,2782965
WESTERN REFINING LOGISTICS LP,411096,9816969,9321647
WHITING PETROLEUM CORP,244230,1780434,6550420
WILLIAMS COS INC,76087,2125884,1592924
