SECURITY,SHARES,FAIR VALUE ($),COST ($)
BANCO SANTANDER BRASIL SA,21982,153873,119387
BANGCHAK PETROLEUM PCL,199651,194659,174067
BANGKOK LAND PCL,2347164,123408,95261
BANK BUKOPIN TBK PT,1663272,89652,88797
BANK NEGARA INDONESIA PERSERO TBK PT,744652,329801,261028
BANK OF CHINA LTD,1784735,803007,791994
BANK OF CHONGQING CO LTD,187416,146420,169032
BANK OF INDIA,12543,41889,43655
BANK PEMBANGUNAN DAERAH JAWA BARAT & BANTEN TBK PT,4633587,562385,329757
BANK PEMBANGUNAN DAERAH JAWA TIMUR TBK PT,3226101,145922,139069
BANK RAKYAT INDONESIA PERSERO TBK PT ,3031432,2662346,1731049
BANK TABUNGAN NEGARA PERSERO TBK PT,10205102,1546337,866340
BAOYE GROUP CO LTD,352344,242111,284611
BARLOWORLD LTD,489030,2765179,3474018
BARRICK GOLD CORP,380472,6463715,4355205
BARWA REAL ESTATE CO,102540,1027837,1339724
BATICIM BATI ANADOLU CIMENTO SANAYII AS,31290,64819,84475
BEADELL RESOURCES LTD,4258618,1168206,1150788
BEIJING BEIDA JADE BIRD UNIVERSAL SCI-TECH CO LTD,557,101,65
BEIJING CHUNLIZHENGDA MEDICAL INSTRUMENTS CO LTD,14564,23808,30443
BENESSE HOLDINGS INC,6535,150743,233103
BENQ MATERIALS CORP,45725,22985,32566
BERAU COAL ENERGY TBK PT,378157,2338,11448
BERKELEY ENERGIA LTD,3531426,2011923,1183898
BGF RETAIL CO LTD,5048,916757,447057
BGP INC,2308692,0,20946
BHARAT PETROLEUM CORP LTD,72217,649816,480283
BHARTI INFRATEL LTD,171761,899585,933940
BHP BILLITON PLC,890636,11546849,12484692
BIG CAMERA CORP PCL,1602635,230565,197175
BIM BIRLESIK MAGAZALAR AS,2828,48460,57083
BIMB HOLDINGS BHD,26983,26681,23907
BIOCON LTD,16187,221567,111155
BIOTON SA,20471,48464,64332
BITAUTO HOLDINGS LTD,21682,547258,1009998
BIZIM TOPTAN SATIS MAGAZALARI AS,15392,69492,85271
BLUE LABEL TELECOMS LTD,108254,140154,105267
BM&FBOVESPA SA,1072865,5935300,4649046
BODAL CHEMICALS LTD,89549,144614,114565
BOLIDEN AB,230112,4864709,4269882
BOLLORE SA,124851,450254,434244
BOOKER GROUP PLC,527131,1215766,1264518
BORUSAN MANNESMANN BORU SANAYI,23213,70367,69982
BR MALLS PARTICIPACOES SA,1173730,4482517,3619598
BRASIL BROKERS PARTICIPACOES SA,902564,569371,1400318
BRASILAGRO - CIA BRASILEIRA DE PROPRIEDADES AGRICOLAS,5871,21840,19877
BREMBO SPA,8050,469331,347291
BRITISH LAND CO PLC,394842,3428536,4247833
BROOKFIELD CANADA OFFICE PROPERTIES,35924,777593,776159
BUDIMEX SA,122,6146,5326
BUNZL PLC,38465,1187918,540430
BUREAU VERITAS SA,15480,331377,309599
BURSA CIMENTO FABRIKASI AS,12989,27698,23187
BYD ELECTRONIC INTERNATIONAL CO LTD,103869,87710,63045
C C LAND HOLDINGS LTD,1413526,366286,362600
CALCOMP ELECTRONICS THAILAND PCL,3152199,277582,388114
CANACOL ENERGY LTD,471209,1494022,1442216
CANADIAN NATURAL RESOURCES LTD,149484,4641463,5068332
CAN-ONE BHD,63676,53855,63864
CAP SA,5873,29444,21265
CAPITAL FUTURES CORP,11290,13930,14138
CAPITAL SECURITIES CORP,67741,17164,17938
CAPITALAND LTD,878314,1978517,2202706
CARLSBERG BREWERY MALAYSIA BHD,8411,30488,26162
CASHBUILD LTD,3994,105941,84970
CATCHER TECHNOLOGY CO LTD,272205,1955930,1952004
CD PROJEKT SA,39368,427775,327949
CEBU AIR INC,77501,197100,157106
CECEP COSTIN NEW MATERIALS GROUP,1737553,134403,279070
BEIJING CHUNLIZHENGDA MEDICAL INSTRUMENTS CO LTD,14564,23808,30443
BENESSE HOLDINGS INC,6535,150743,233103
BENQ MATERIALS CORP,45725,22985,32566
BERAU COAL ENERGY TBK PT,378157,2338,11448
BERKELEY ENERGIA LTD,3531426,2011923,1183898
BGF RETAIL CO LTD,5048,916757,447057
BGP INC,2308692,0,20946
BHARAT PETROLEUM CORP LTD,72217,649816,480283
BHARTI INFRATEL LTD,171761,899585,933940
BHP BILLITON PLC,890636,11546849,12484692
BIG CAMERA CORP PCL,1602635,230565,197175
BIM BIRLESIK MAGAZALAR AS,2828,48460,57083
BIMB HOLDINGS BHD,26983,26681,23907
BIOCON LTD,16187,221567,111155
BIOTON SA,20471,48464,64332
BITAUTO HOLDINGS LTD,21682,547258,1009998
BIZIM TOPTAN SATIS MAGAZALARI AS,15392,69492,85271
BLUE LABEL TELECOMS LTD,108254,140154,105267
BM&FBOVESPA SA,1072865,5935300,4649046
BODAL CHEMICALS LTD,89549,144614,114565
BOLIDEN AB,230112,4864709,4269882
BOLLORE SA,124851,450254,434244
BOOKER GROUP PLC,527131,1215766,1264518
BORUSAN MANNESMANN BORU SANAYI,23213,70367,69982
BR MALLS PARTICIPACOES SA,1173730,4482517,3619598
BRASIL BROKERS PARTICIPACOES SA,902564,569371,1400318
BRASILAGRO - CIA BRASILEIRA DE PROPRIEDADES AGRICOLAS,5871,21840,19877
BREMBO SPA,8050,469331,347291
BRITISH LAND CO PLC,394842,3428536,4247833
BROOKFIELD CANADA OFFICE PROPERTIES,35924,777593,776159
BUDIMEX SA,122,6146,5326
BUNZL PLC,38465,1187918,540430
BUREAU VERITAS SA,15480,331377,309599
BURSA CIMENTO FABRIKASI AS,12989,27698,23187
BYD ELECTRONIC INTERNATIONAL CO LTD,103869,87710,63045
C C LAND HOLDINGS LTD,1413526,366286,362600
CALCOMP ELECTRONICS THAILAND PCL,3152199,277582,388114
CANACOL ENERGY LTD,471209,1494022,1442216
CANADIAN NATURAL RESOURCES LTD,149484,4641463,5068332
CAN-ONE BHD,63676,53855,63864
CAP SA,5873,29444,21265
CAPITAL FUTURES CORP,11290,13930,14138
CAPITAL SECURITIES CORP,67741,17164,17938
CAPITALAND LTD,878314,1978517,2202706
CARLSBERG BREWERY MALAYSIA BHD,8411,30488,26162
CASHBUILD LTD,3994,105941,84970
CATCHER TECHNOLOGY CO LTD,272205,1955930,1952004
CD PROJEKT SA,39368,427775,327949
CEBU AIR INC,77501,197100,157106
CECEP COSTIN NEW MATERIALS GROUP,1737553,134403,279070
CEGEREAL SA,323630,13660790,12545776
CELLNEX TELECOM SA,104746,1825750,1773964
CENTAMIN PLC,607892,1182291,543990
CENTERRA GOLD INC,159698,798460,932994
CENTRAIS ELETRICAS BRASILEIRAS SA,270169,1882278,1364994
CENTRAIS ELETRICAS DO PARA SA,1258321,712081,467586
CENTRAL CHINA REAL ESTATE LTD,566670,127846,149608
CENTRAL PATTANA PCL,1001711,1743528,1358207
CETIP SA - MERCADOS ORGANIZADOS,110375,1491211,1398284
CHAMBAL FERTILIZERS AND CHEMICALS LTD,308400,312913,313993
CHANGGANG DUNXIN ENTERPRISE CO,1728521,2228,208957
CHANGYOUCOM LTD,29467,730193,808117
CHAOWEI POWER HOLDINGS LTD,257415,190156,169203
CHAROEN POKPHAND ENTERPRISE TAIWAN CO LTD,113071,138619,96625
CHENG LOONG CORP,2340,844,1073
CHENNAI PETROLEUM CORP LTD,228821,1006237,675054
CHIA CHANG CO LTD,24838,18200,22569
CHIGO HOLDING LTD,868212,13432,23034
CHIN WELL HOLDINGS BHD,302294,128207,137710
CHINA AGRI-INDUSTRIES HOLDINGS LTD,271528,95915,88372
CHINA ANIMAL HEALTHCARE LTD,1755,1176,1038
CHINA AOYUAN PROPERTY GROUP LTD,780713,176137,192637
CHINA CHILD CARE CORP LTD,132659,7867,22494
CHINA COMMUNICATIONS SERVICES CORP LTD,1800777,1058632,755411
CHINA CONSTRUCTION BANK CORP,1656577,1238682,1196382
CHINA DISTANCE EDUCATION HOLDINGS LTD,3991,45179,58567
CHINA FINANCE ONLINE CO LTD,22729,93870,125409
CHINA FLAVORS & FRAGRANCES CO,158062,57668,52165
CHINA FOODS LTD,308221,139075,120298
CHINA GAS HOLDINGS LTD,527402,896143,852662
CHINA GENERAL PLASTICS CORP,44912,27955,17780
CHINA GREAT STAR INTERNATIONAL LTD,16424,27177,38018
CHINA HIGH PRECISION AUTOMATION GROUP LTD,100040,15735,15737
CHINA HIGH SPEED TRANSMISSION EQUIPMENT GROUP LTD,1467718,1351018,1177606
CHINA LESSO GROUP HOLDINGS LTD,774504,544177,625182
CHINA LILANG LTD,477008,283496,465303
CHINA LODGING GROUP LTD,28736,1282498,756682
CHINA MAPLE LEAF EDUCATIONAL SYSTEMS,973210,731468,445774
CHINA METAL PRODUCTS CO LTD,27661,26414,23484
CHINA METAL RECYCLING HOLDINGS LTD,37202,8479,41360
CHINA MOBILE LTD,902942,11151827,10810129
CHINA NATIONAL MATERIALS CO LTD,894194,219031,210403
CHINA OVERSEAS LAND & INVESTMENT LTD,547401,1810143,1602072
CHINA PROPERTIES GROUP LTD,80160,20152,23358
CHINA RESOURCES LAND LTD,858538,2418416,2293978
CHINA SCE PROPERTY HOLDINGS LTD,515959,123057,117610
CHINA SHANSHUI CEMENT GROUP LTD,21057,17076,13768
CHINA SHINEWAY PHARMACEUTICAL GROUP LTD,45725,47984,56128
CHINA STARCH HOLDINGS LTD,1744327,36205,49970
CHINA SUNSHINE PAPER HOLDINGS CO LTD,153264,26082,23077
CHINA SYNTHETIC RUBBER CORP,46148,36651,45147
CELLNEX TELECOM SA,104746,1825750,1773964
CENTAMIN PLC,607892,1182291,543990
CENTERRA GOLD INC,159698,798460,932994
CENTRAIS ELETRICAS BRASILEIRAS SA,270169,1882278,1364994
CENTRAIS ELETRICAS DO PARA SA,1258321,712081,467586
CENTRAL CHINA REAL ESTATE LTD,566670,127846,149608
CENTRAL PATTANA PCL,1001711,1743528,1358207
CETIP SA - MERCADOS ORGANIZADOS,110375,1491211,1398284
CHAMBAL FERTILIZERS AND CHEMICALS LTD,308400,312913,313993
CHANGGANG DUNXIN ENTERPRISE CO,1728521,2228,208957
CHANGYOUCOM LTD,29467,730193,808117
CHAOWEI POWER HOLDINGS LTD,257415,190156,169203
CHAROEN POKPHAND ENTERPRISE TAIWAN CO LTD,113071,138619,96625
CHENG LOONG CORP,2340,844,1073
CHENNAI PETROLEUM CORP LTD,228821,1006237,675054
CHIA CHANG CO LTD,24838,18200,22569
CHIGO HOLDING LTD,868212,13432,23034
CHIN WELL HOLDINGS BHD,302294,128207,137710
CHINA AGRI-INDUSTRIES HOLDINGS LTD,271528,95915,88372
CHINA ANIMAL HEALTHCARE LTD,1755,1176,1038
CHINA AOYUAN PROPERTY GROUP LTD,780713,176137,192637
CHINA CHILD CARE CORP LTD,132659,7867,22494
CHINA COMMUNICATIONS SERVICES CORP LTD,1800777,1058632,755411
CHINA CONSTRUCTION BANK CORP,1656577,1238682,1196382
CHINA DISTANCE EDUCATION HOLDINGS LTD,3991,45179,58567
CHINA FINANCE ONLINE CO LTD,22729,93870,125409
CHINA FLAVORS & FRAGRANCES CO,158062,57668,52165
CHINA FOODS LTD,308221,139075,120298
CHINA GAS HOLDINGS LTD,527402,896143,852662
CHINA GENERAL PLASTICS CORP,44912,27955,17780
CHINA GREAT STAR INTERNATIONAL LTD,16424,27177,38018
CHINA HIGH PRECISION AUTOMATION GROUP LTD,100040,15735,15737
CHINA HIGH SPEED TRANSMISSION EQUIPMENT GROUP LTD,1467718,1351018,1177606
CHINA LESSO GROUP HOLDINGS LTD,774504,544177,625182
CHINA LILANG LTD,477008,283496,465303
CHINA LODGING GROUP LTD,28736,1282498,756682
CHINA MAPLE LEAF EDUCATIONAL SYSTEMS,973210,731468,445774
CHINA METAL PRODUCTS CO LTD,27661,26414,23484
CHINA METAL RECYCLING HOLDINGS LTD,37202,8479,41360
CHINA MOBILE LTD,902942,11151827,10810129
CHINA NATIONAL MATERIALS CO LTD,894194,219031,210403
CHINA OVERSEAS LAND & INVESTMENT LTD,547401,1810143,1602072
CHINA PROPERTIES GROUP LTD,80160,20152,23358
CHINA RESOURCES LAND LTD,858538,2418416,2293978
CHINA SCE PROPERTY HOLDINGS LTD,515959,123057,117610
CHINA SHANSHUI CEMENT GROUP LTD,21057,17076,13768
CHINA SHINEWAY PHARMACEUTICAL GROUP LTD,45725,47984,56128
CHINA STARCH HOLDINGS LTD,1744327,36205,49970
CHINA SUNSHINE PAPER HOLDINGS CO LTD,153264,26082,23077
CHINA SYNTHETIC RUBBER CORP,46148,36651,45147
CHINA TELECOM CORP LTD,751115,388303,404533
CHINACACHE INTERNATIONAL HOLDINGS LTD,21987,123347,172068
CHUN YUAN STEEL INDUSTRY CO LTD,66612,22463,21336
CHUNGDAHM LEARNING INC,1308,27332,28446
CIA DE SANEAMENTO BASICO,267052,2414049,2201734
CIA DE SANEAMENTO DE MINAS GERAIS,33758,343338,323625
CIA ENERGETICA DE MINAS GERAIS,29560,78926,258252
CIE FINANCIERE RICHEMONT SA,2729,157351,174138
CIELO SA,1081085,11175913,8708856
CIFI HOLDINGS GROUP CO LTD,129837,40675,38698
CIMPRESS NV,15067,1495729,1033925
CITY DEVELOPMENTS LTD,276614,1723192,2092741
CITYCON OYJ,128334,328743,331328
CJ CGV CO LTD,46084,3409783,1322269
CJ HELLOVISION CO LTD,21762,176245,206329
CJ KOREA EXPRESS CORP,23427,4223241,2028711
CKD BIO CORP,2396,55328,62592
CKH FOOD & HEALTH LTD,53805,115331,141924
CLEAR MEDIA LTD,355279,343519,208035
CLICKS GROUP LTD,78908,649426,606587
COCA-COLA EUROPEAN PARTNERS PLC,229614,8828655,8660942
COCA-COLA WEST CO LTD,130061,2948634,2744816
COM2USCORP,24146,2234882,2804569
COMBA TELECOM SYSTEM,360684,63704,62176
COMMERCIAL INTERNATIONAL BANK,2129474,10161133,9046106
CONCENTRADORA HIPOTECARIA SAPI DE CV,1234,1753,1677
CONTROLADORA VUELA CIA DE AVIA,4719,8368,6483
COOLPAD GROUP LTD,218886,42046,41490
CORE LABORATORIES NV,23526,2629726,2790107
CORETRONIC CORP,311156,350572,541489
CORP MOCTEZUMA SAB DE CV,782189,2487253,2525097
CORPORATIVO FRAGUA SAB DE CV,180475,2053932,3175075
COSAN LTD,117491,827132,1030851
COSAN SA INDUSTRIA E COMERCIO,475964,5535592,4449068
COSCO CAPITAL INC,1276294,237482,272707
COSCO INTERNATIONAL HOLDINGS LTD,71128,33195,35762
COSEL CO LTD,13070,136465,175166
COUNTRY GROUP HOLDINGS PCL,682433,31741,39682
COWAY CO LTD,2337,174773,179864
COXON PRECISE INDUSTRIAL CO LTD,225238,251641,499251
CP ALL PCL,425426,765056,549844
CPFL ENERGIA SA,152084,1095320,831354
CR2 EMPREENDIMENTOS IMOBILIARIOS SA,211268,116289,473020
CREATIVE SENSOR INC,184594,116642,154842
CREW ENERGY INC,213067,1078285,1246390
CS WIND CORP,149182,3264604,3771624
CSC STEEL HOLDINGS BHD,87983,32759,32121
CYBERTAN TECHNOLOGY,321205,201446,188531
CYRELA BRAZIL REALTY SA,1312605,4322854,4266730
DAE DUCK ELECTRONICS CO,32798,226794,261119
DAE HAN FLOUR MILLS CO LTD,92,14359,17662
CHINACACHE INTERNATIONAL HOLDINGS LTD,21987,123347,172068
CHUN YUAN STEEL INDUSTRY CO LTD,66612,22463,21336
CHUNGDAHM LEARNING INC,1308,27332,28446
CIA DE SANEAMENTO BASICO,267052,2414049,2201734
CIA DE SANEAMENTO DE MINAS GERAIS,33758,343338,323625
CIA ENERGETICA DE MINAS GERAIS,29560,78926,258252
CIE FINANCIERE RICHEMONT SA,2729,157351,174138
CIELO SA,1081085,11175913,8708856
CIFI HOLDINGS GROUP CO LTD,129837,40675,38698
CIMPRESS NV,15067,1495729,1033925
CITY DEVELOPMENTS LTD,276614,1723192,2092741
CITYCON OYJ,128334,328743,331328
CJ CGV CO LTD,46084,3409783,1322269
CJ HELLOVISION CO LTD,21762,176245,206329
CJ KOREA EXPRESS CORP,23427,4223241,2028711
CKD BIO CORP,2396,55328,62592
CKH FOOD & HEALTH LTD,53805,115331,141924
CLEAR MEDIA LTD,355279,343519,208035
CLICKS GROUP LTD,78908,649426,606587
COCA-COLA EUROPEAN PARTNERS PLC,229614,8828655,8660942
COCA-COLA WEST CO LTD,130061,2948634,2744816
COM2USCORP,24146,2234882,2804569
COMBA TELECOM SYSTEM,360684,63704,62176
COMMERCIAL INTERNATIONAL BANK,2129474,10161133,9046106
CONCENTRADORA HIPOTECARIA SAPI DE CV,1234,1753,1677
CONTROLADORA VUELA CIA DE AVIA,4719,8368,6483
COOLPAD GROUP LTD,218886,42046,41490
CORE LABORATORIES NV,23526,2629726,2790107
CORETRONIC CORP,311156,350572,541489
CORP MOCTEZUMA SAB DE CV,782189,2487253,2525097
CORPORATIVO FRAGUA SAB DE CV,180475,2053932,3175075
COSAN LTD,117491,827132,1030851
COSAN SA INDUSTRIA E COMERCIO,475964,5535592,4449068
COSCO CAPITAL INC,1276294,237482,272707
COSCO INTERNATIONAL HOLDINGS LTD,71128,33195,35762
COSEL CO LTD,13070,136465,175166
COUNTRY GROUP HOLDINGS PCL,682433,31741,39682
COWAY CO LTD,2337,174773,179864
COXON PRECISE INDUSTRIAL CO LTD,225238,251641,499251
CP ALL PCL,425426,765056,549844
CPFL ENERGIA SA,152084,1095320,831354
CR2 EMPREENDIMENTOS IMOBILIARIOS SA,211268,116289,473020
CREATIVE SENSOR INC,184594,116642,154842
CREW ENERGY INC,213067,1078285,1246390
CS WIND CORP,149182,3264604,3771624
CSC STEEL HOLDINGS BHD,87983,32759,32121
CYBERTAN TECHNOLOGY,321205,201446,188531
CYRELA BRAZIL REALTY SA,1312605,4322854,4266730
DAE DUCK ELECTRONICS CO,32798,226794,261119
DAE HAN FLOUR MILLS CO LTD,92,14359,17662
DAECHANG FORGING CO LTD,36201,1404211,1505962
DAEDUCK GDS CO LTD,11086,129748,111141
DAEHAN STEEL CO LTD,52478,487125,444981
DAERYUK CAN CO LTD,3436,20952,23450
DAEWON PHARMACEUTICAL CO LTD,4300,71738,68831
DAEWON SAN UP CO LTD,2046,16148,15115
DAEWOO INTERNATIONAL CORP,2442,50155,50800
DAH CHONG HONG HOLDINGS LTD,646925,282731,293974
DAIBOCHI PLASTIC & PACKAGING INDUSTRY BHD,2915699,1516983,1509808
DAICEL CHEMICAL INDUSTURIES,484897,6183394,5858873
DAIDO METAL CO LTD,209366,2368231,2143317
DAIWA HOUSE INDUSTRY CO LTD,113366,2927986,2241375
DAOU TECHNOLOGY INC,304855,5755328,3283941
DAQO NEW ENERGY CORP,169,4075,3875
DARFON ELECTRONICS CORP,102176,61343,59300
DARWIN PRECISIONS CORP,894627,355251,479106
DATASONIC GROUP BHD,382397,137665,134642
DAWNRAYS PHARMACEUTICAL HOLDINGS LTD,415477,290313,374519
DCB BANK LTD,43258,77867,65966
DELFI LTD,983833,1732545,2972076
DELPHA CONSTRUCTION CO LTD,246215,109798,122334
DELTA DUNIA MAKMUR TBK PT,3230279,60879,56396
DENKA CO LTD,418924,1769900,1720248
DENSO CORP,63033,2603334,2381848
DERWENT LONDON PLC,54040,1933621,1815762
DETOUR GOLD CORP,167098,3769739,1861687
DFI INC,15806,28792,21809
DHARMA SATYA NUSANTARA TBK PT,1373728,50123,95804
DHG PHARMACEUTICAL JSC,53626,232005,246645
DHIPAYA INSURANCE PCL,46911,54885,56191
DIGITAL CHINA HOLDINGS LTD,55380,49906,56020
DIRECIONAL ENGENHARIA SA,52273,94563,85967
DISHMAN PHARMACEUTICALS & CHEMICALS LTD,10950,28891,31205
DIVIS LABORATORIES LTD,14854,293332,262064
DK UIL CO LTD,32203,333581,415642
DOHA BANK QSC,3694,38090,57719
DONGBU SECURITIES CO LTD,178,579,697
DONGJIN SEMICHEM CO LTD,13568,101851,72744
DONGKOOK PHARMACEUTICAL CO LTD,771,43224,49796
DONGKUK STEEL MILL CO LTD,25923,197152,202499
DONGWHA PHARMACEUTICAL CO LTD,20444,161899,164779
DONGWON DEVELOPMENT CO LTD,86346,366295,293265
DONGYANG E&P INC,1319,15496,21264
DONGYUE GROUP LTD,134353,23729,56563
DORMA+KABA HOLDING AG,687,540096,444501
DOUJA PROMOTION GROUPE ADDOHA,421149,1539221,1564995
DRB HOLDING CO LTD,3543,42260,43695
DRDGOLD LTD,110587,339825,259707
DUBAI FINANCIAL MARKET PJSC,3344591,1220155,1241873
DUTCH LADY MILK INDUSTRIES BHD,2879,42026,40491
DY CORP,15652,90259,98317
DAEDUCK GDS CO LTD,11086,129748,111141
DAEHAN STEEL CO LTD,52478,487125,444981
DAERYUK CAN CO LTD,3436,20952,23450
DAEWON PHARMACEUTICAL CO LTD,4300,71738,68831
DAEWON SAN UP CO LTD,2046,16148,15115
DAEWOO INTERNATIONAL CORP,2442,50155,50800
DAH CHONG HONG HOLDINGS LTD,646925,282731,293974
DAIBOCHI PLASTIC & PACKAGING INDUSTRY BHD,2915699,1516983,1509808
DAICEL CHEMICAL INDUSTURIES,484897,6183394,5858873
DAIDO METAL CO LTD,209366,2368231,2143317
DAIWA HOUSE INDUSTRY CO LTD,113366,2927986,2241375
DAOU TECHNOLOGY INC,304855,5755328,3283941
DAQO NEW ENERGY CORP,169,4075,3875
DARFON ELECTRONICS CORP,102176,61343,59300
DARWIN PRECISIONS CORP,894627,355251,479106
DATASONIC GROUP BHD,382397,137665,134642
DAWNRAYS PHARMACEUTICAL HOLDINGS LTD,415477,290313,374519
DCB BANK LTD,43258,77867,65966
DELFI LTD,983833,1732545,2972076
DELPHA CONSTRUCTION CO LTD,246215,109798,122334
DELTA DUNIA MAKMUR TBK PT,3230279,60879,56396
DENKA CO LTD,418924,1769900,1720248
DENSO CORP,63033,2603334,2381848
DERWENT LONDON PLC,54040,1933621,1815762
DETOUR GOLD CORP,167098,3769739,1861687
DFI INC,15806,28792,21809
DHARMA SATYA NUSANTARA TBK PT,1373728,50123,95804
DHG PHARMACEUTICAL JSC,53626,232005,246645
DHIPAYA INSURANCE PCL,46911,54885,56191
DIGITAL CHINA HOLDINGS LTD,55380,49906,56020
DIRECIONAL ENGENHARIA SA,52273,94563,85967
DISHMAN PHARMACEUTICALS & CHEMICALS LTD,10950,28891,31205
DIVIS LABORATORIES LTD,14854,293332,262064
DK UIL CO LTD,32203,333581,415642
DOHA BANK QSC,3694,38090,57719
DONGBU SECURITIES CO LTD,178,579,697
DONGJIN SEMICHEM CO LTD,13568,101851,72744
DONGKOOK PHARMACEUTICAL CO LTD,771,43224,49796
DONGKUK STEEL MILL CO LTD,25923,197152,202499
DONGWHA PHARMACEUTICAL CO LTD,20444,161899,164779
DONGWON DEVELOPMENT CO LTD,86346,366295,293265
DONGYANG E&P INC,1319,15496,21264
DONGYUE GROUP LTD,134353,23729,56563
DORMA+KABA HOLDING AG,687,540096,444501
DOUJA PROMOTION GROUPE ADDOHA,421149,1539221,1564995
DRB HOLDING CO LTD,3543,42260,43695
DRDGOLD LTD,110587,339825,259707
DUBAI FINANCIAL MARKET PJSC,3344591,1220155,1241873
DUTCH LADY MILK INDUSTRIES BHD,2879,42026,40491
DY CORP,15652,90259,98317
DYNAPACK INTERNATIONAL TECHNOLOGY CORP,20322,26932,27974
ESUN FINANCIAL HOLDINGS CO LTD,2467,1388,1076
E1 CORP,1041,59656,60794
EASTERN STAR REAL ESTATE PCL,654161,15307,14878
ECONPILE HOLDINGS BHD,73104,27579,24955
EDP - ENERGIAS DO BRASIL SA,390264,1729385,1286719
EFG HERMES HOLDINGS,48843,68810,51468
EGE ENDUSTRI VE TICARET AS,3910,280110,292286
EKARAT ENGINEERING PCL,718448,27604,66589
EL PUERTO DE LIVERPOOL SAB DE CV,108544,1178822,1055466
ELDORADO GOLD CORP,977345,3128578,5803660
E-LIFE MALL CORP,12419,23601,22002
ELITE ADVANCED LASER CORP,324343,1221506,873757
ELITE MATERIAL CO LTD,406445,1109284,761799
E-LITECOM CO LTD,48813,490318,875781
ELITEGROUP COMPUTER SYSTEMS CO,127579,58702,79808
ELNUSA TBK PT,3253085,122619,122807
EMAAR MISR FOR DEVELOPMENT SAE,1210250,332548,342748
EMAAR PROPERTIES PJSC,5119870,9896565,8659503
EMBOTELLADORA ANDINA SA,7163,25720,26775
EMIRATES NBD PJSC,491558,1120128,984737
EMPERIA HOLDING SA,845,14670,16590
EM-TECH CO LTD,2307,24727,21461
ENBRIDGE INC,74621,2946767,3006279
ENERGI MEGA PERSADA TBK PT,16200533,61065,93792
ENERGISA SA,41216,267268,231932
ENERSIS AMERICAS SA,261269,43411,41509
ENERSIS CHILE SA,261269,28033,30189
ENF TECHNOLOGY CO LTD,2946,53364,56169
ENGIE SA,12328,196199,374115
ENSCO PLC,60097,456137,496943
ENTRA ASA,45469,486519,377176
EQUATORIAL ENERGIA SA,3292536,51345966,27136940
EQUITAS HOLDINGS LTD,921923,2453140,2094272
ERAJAYA SWASEMBADA TBK PT,373083,23485,21300
ESSEL PROPACK LTD,49470,165540,118494
ESSO MALAYSIA BHD,100525,104851,161013
ESSO THAILAND PCL,545765,94599,83516
ESTER INDUSTRIES LTD,18917,11807,27121
ETERNIT SA,25966,13329,52999
EUGENE TECHNOLOGY CO LTD,3399,64331,65833
EUROCASH SA,6072,66758,67706
EUROCOMMERCIAL PROPERTIES NV,6708,304421,272240
EUSU HOLDINGS CO LTD,38699,243992,346072
EVERGREEN FIBREBOARD BHD,1531959,292755,414366
EVRAZ HIGHVELD STEEL AND VANADIUM LTD,1767,198,17522
EXXARO RESOURCES LTD,8980,45912,40593
F@N COMMUNICATIONS INC,2991,21193,20432
FAIRMONT SANTROL HOLDINGS INC,77118,572990,607786
FANTASIA HOLDINGS GROUP CO LTD,1154981,178680,188452
FANUC CORP,1551,264299,239705
ESUN FINANCIAL HOLDINGS CO LTD,2467,1388,1076
E1 CORP,1041,59656,60794
EASTERN STAR REAL ESTATE PCL,654161,15307,14878
ECONPILE HOLDINGS BHD,73104,27579,24955
EDP - ENERGIAS DO BRASIL SA,390264,1729385,1286719
EFG HERMES HOLDINGS,48843,68810,51468
EGE ENDUSTRI VE TICARET AS,3910,280110,292286
EKARAT ENGINEERING PCL,718448,27604,66589
EL PUERTO DE LIVERPOOL SAB DE CV,108544,1178822,1055466
ELDORADO GOLD CORP,977345,3128578,5803660
E-LIFE MALL CORP,12419,23601,22002
ELITE ADVANCED LASER CORP,324343,1221506,873757
ELITE MATERIAL CO LTD,406445,1109284,761799
E-LITECOM CO LTD,48813,490318,875781
ELITEGROUP COMPUTER SYSTEMS CO,127579,58702,79808
ELNUSA TBK PT,3253085,122619,122807
EMAAR MISR FOR DEVELOPMENT SAE,1210250,332548,342748
EMAAR PROPERTIES PJSC,5119870,9896565,8659503
EMBOTELLADORA ANDINA SA,7163,25720,26775
EMIRATES NBD PJSC,491558,1120128,984737
EMPERIA HOLDING SA,845,14670,16590
EM-TECH CO LTD,2307,24727,21461
ENBRIDGE INC,74621,2946767,3006279
ENERGI MEGA PERSADA TBK PT,16200533,61065,93792
ENERGISA SA,41216,267268,231932
ENERSIS AMERICAS SA,261269,43411,41509
ENERSIS CHILE SA,261269,28033,30189
ENF TECHNOLOGY CO LTD,2946,53364,56169
ENGIE SA,12328,196199,374115
ENSCO PLC,60097,456137,496943
ENTRA ASA,45469,486519,377176
EQUATORIAL ENERGIA SA,3292536,51345966,27136940
EQUITAS HOLDINGS LTD,921923,2453140,2094272
ERAJAYA SWASEMBADA TBK PT,373083,23485,21300
ESSEL PROPACK LTD,49470,165540,118494
ESSO MALAYSIA BHD,100525,104851,161013
ESSO THAILAND PCL,545765,94599,83516
ESTER INDUSTRIES LTD,18917,11807,27121
ETERNIT SA,25966,13329,52999
EUGENE TECHNOLOGY CO LTD,3399,64331,65833
EUROCASH SA,6072,66758,67706
